City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,kaedi,16.1465,-13.5047,34.24,48,100,4.36,MR,1723055296
337,tinajo,29.0788,-13.7081,25.49,57,20,8.23,ES,1723055297
338,cox's bazar,21.4532,91.9798,25.3,92,100,5.73,BD,1723055298
339,khash,28.2211,61.2158,31.05,23,86,3.38,IR,1723055299
340,smithers,54.7804,-127.1743,21.18,43,20,0.0,CA,1723055300
341,nantucket,41.2835,-70.0995,20.01,77,100,7.2,US,1723055097
342,ain sefra,32.75,-0.5833,36.42,12,13,6.12,DZ,1723055303
343,nookat,40.2671,72.6207,19.42,32,0,3.58,KG,1723055304
344,nellore,14.4333,79.9667,26.88,79,99,1.9,IN,1723055305
345,novodvinsk,64.4165,40.8122,14.86,63,33,2.14,RU,1723055306
346,katsuren-haebaru,26.3369,127.8719,28.94,89,0,3.09,JP,1723055307
347,richards bay,-28.783,32.0377,20.59,71,0,7.31,ZA,1723055308
348,arno,60.1167,18.6333,19.32,67,80,4.62,SE,1723055309
349,howard springs,-12.497,131.047,21.95,91,43,1.49,AU,1723055310
350,turrialba,9.9047,-83.6835,26.87,96,100,0.86,CR,1723055311
351,suomussalmi,64.8869,28.9078,14.9,63,24,2.07,FI,1723055312
352,whakatane,-37.9585,176.9854,8.21,83,87,2.37,NZ,1723055314
353,princeville,45.7668,-61.2985,23.68,55,0,3.6,CA,1723055315
354,tejen,37.3834,60.5054,33.22,13,0,3.95,TM,1723055316
355,flying fish cove,-10.4217,105.6791,24.82,83,75,6.69,CX,1723055317
356,poronaysk,49.2167,143.1167,15.57,97,34,1.41,RU,1723055318
357,horta,38.5333,-28.6333,25.8,69,20,4.92,PT,1723055320
358,bathsheba,13.2167,-59.5167,31.34,70,40,8.23,BB,1723055322
359,fortuna,40.5982,-124.1573,17.51,80,0,1.54,US,1723055323
